GID,mean_ndvi
2000_532,0.3634282986343635
2001_357,0.2212943372167747
1986_49,0.644026043188394
1986_45,0.6544404817611923
1986_70,0.697543137204307
1987_72,0.6421523987744499
1988_99,0.6061539959263309
1988_96,0.7056907995688854
1988_125,0.6537836939773285
1988_110,0.6693138806702539
1988_120,0.6768043310978875
1988_90,0.7036513313202146
1988_81,0.6922413347686476
1989_1028,0.4312238099965424
1989_885,0.1988503722052553
1989_1156,0.6039639485227593
1989_789,0.6159686616456792
1989_1039,0.6370065611382697
1989_888,0.42845740595562776
1989_1195,0.624052297806266
1989_1255,NA
1989_1169,NA
1989_1088,NA
1989_920,0.14669625151224866
1989_1337,NA
1989_806,0.5303126889968024
1989_1106,0.7079307375589874
1989_1131,NA
1990_47,0.7259177893427885
1990_99,0.6425328281297459
1990_29,0.5907200468776531
1991_108,0.618887762185978
1992_36,0.5587401610730135
1992_30,0.3884674356664573
1992_24,0.577771607671979
1993_13,0.5833981757247706
1993_16,0.5621860207307444
1993_14,0.5666131330416386
1993_15,0.6359931388782433
1994_73,0.6042496166514126
1994_45,0.5872561269435821
1994_110,0.5663791448015547
1994_36,0.5515951485938985
1995_1041,0.520966690810426
1995_1036,0.5391660662537584
1995_1097,0.5286774166551649
1995_1031,0.5853000814846585
1995_1032,0.5762558483507365
1995_1079,0.6126069514382668
1995_1410,0.62506635849835
1995_1009,0.5927339253254703
1995_918,0.574962462450683
1995_983,0.527241531694385
1995_968,0.5547908837727447
1995_996,0.5983163352320169
1995_967,0.6141357929245526
1995_1412,0.6219972821857802
1995_1092,0.551922616230015
1995_1107,0.6221186753002603
1995_948,0.5812245957402711
1995_1415,0.6179522736601807
1995_1018,0.617552205343206
1995_995,0.6349657687421356
1995_1180,0.44795466511414966
1995_1414,0.6363445304078663
1995_1007,0.5887645838907212
1995_1417,0.5795877048122435
1996_487,0.5627382401040891
1996_528,0.6076431358941302
1996_490,0.5669101733595026
1996_464,0.619971631127823
1996_472,0.6061693212555521
1996_575,0.6130556138232883
1996_519,0.6077033073947506
1996_513,0.6053904419140219
1996_587,0.6360808486682478
1996_445,0.5416051972101779
1996_525,0.5471397043891169
1996_551,0.6016385258056604
1996_414,0.6019696767549844
1996_568,0.5774499927828943
1996_569,0.6168975486920166
1996_727,NA
1998_605,0.6392806229149919
1998_660,0.5413053026320455
1998_871,0.6924487273749247
1998_899,0.531633739038117
1998_588,NA
1998_867,0.5495110256576798
1998_597,0.587481595804049
1998_881,NA
1998_595,NA
1998_892,0.6191880233111454
1998_888,NA
1998_874,0.580142013223831
1998_875,NA
1998_896,0.6349996713039957
1998_618,0.585447064251046
1998_885,0.3978956807874713
1998_866,NA
1998_870,NA
1998_890,0.5417784825454051
1998_884,NA
1998_625,0.6114464723772547
