GID,fwi_90th,dmc_90th,dc_90th,isi_90th,bui_90th,ffmc_90th
1986_11,3.265959806749114,5.810075319923559,34.346296919703875,0.8733519864269383,7.384553597774303,76.36382968570771
1986_32,0.3344435323218384,1.0095110886506626,11.90726439164198,0.0060604267704072266,1.6584898125583132,31.71764559184856
1986_40,3.8900185647877246,6.489001961627124,40.37840317675221,0.9242830788151267,8.864504342907281,77.15332119569712
1986_43,0.8417589425954068,2.6128143098925785,21.83671375994311,0.15656066955377676,3.6671843040632432,48.57967605114776
1986_45,0.8867267008215538,2.528713742121586,24.620724212646504,0.4010533319162675,4.2249249992552755,58.367417322427166
1986_49,0.8804725585231048,2.825922114749403,22.360123687744153,0.27871637400607374,4.302725324985111,53.41750860348196
1986_54,4.673147674294544,7.099633869661402,37.75168770345057,1.1485943251343071,9.65832094355754,79.54556409057892
1986_56,3.3993886238271,5.855124624832536,31.793241392921534,0.8496469808115557,7.673279906503081,75.5951613643503
1986_57,1.3499040110069864,3.082392379600339,29.54535330477633,0.4663622933927054,4.517741295062709,60.20849619235281
1986_58,0.8465045930818728,2.676465754579225,22.354184997558612,0.21955373461687072,3.675866742256196,51.28222318700927
1986_60,0.5329134120656511,1.5846291238023968,17.223723193359397,0.10026695554030873,2.545198050032909,45.87648068496307
1986_70,0.3557295330718206,1.1044774289562824,11.954915307617199,0.010882248390415261,1.7660273011011192,33.85521541192702
1987_101,0.8575454032204752,2.6504099423747265,31.01925098494208,0.17820094401481057,4.079919379883696,50.08539461704297
1987_12,0.6051805485108959,2.799643982189802,10.701025756835946,0.0076820758536524,3.00757483187567,32.899803758082925
1987_17,0.6358265226576904,1.9389710792754506,16.306738626118737,0.01039018102890158,3.088620507868627,33.812991842070915
1987_29,2.364421866993798,3.874012571346862,46.21620550537112,0.46586883181760586,6.226766093673519,60.23335935706163
1987_30,0.6606033408074607,2.3552591156104117,13.01902390070942,0.0782794414310436,2.9819302570531563,44.09495720954585
1987_31,3.6454663369807636,7.113298776462619,35.71979400637494,0.4242091641048722,9.561774504641194,59.28539897979451
1987_33,1.8518690348732572,3.569689609788737,39.74224408339083,0.38928607915992225,5.531252486687298,57.93521936184718
1987_47,0.6725320251726957,2.087885409536766,25.071547068243024,0.06029423550264854,3.254721539520393,42.442101945795784
1987_49,4.280278706695168,6.619935761684047,40.015685859213754,0.6732662544852949,9.35295410349073,68.53259450723425
1987_66,0.5572767651007637,1.7318849174914073,21.554848421901248,0.03407894857373577,2.7469343894725498,39.04795966405102
1987_67,0.5134387922418252,1.523195757508897,23.165861785907943,0.016813970632060783,2.5318044885259767,36.192536449518514
1987_70,1.472912072349808,3.9424364204523124,22.03987161505198,0.33681676581823283,5.2112798922412935,55.18818184727257
1987_72,0.5069328340392686,1.545160418316733,16.69215184437148,0.01843243925359082,2.4880869676157302,36.2452959234468
1987_76,0.5165407386339325,1.5315802451882568,16.82948608050307,0.014854213807483477,2.5287371290845235,35.24555951118995
1987_77,2.055313749464093,3.8597775530801344,28.402465881989365,0.4888646558244459,5.676653527877934,61.32570928367173
1987_8,5.639352989857523,9.77201462348457,49.84716305351041,0.8706854089222259,12.993566413491868,75.3626751960987
1987_95,0.7392690763474894,2.2499747470027995,25.063400204076576,0.09127534445647288,3.388525901184581,44.32627789536397
1988_101,0.38944292921182744,1.1422883694751829,11.607598213722374,0.021324401837248205,1.915751319971403,35.276386547263215
1988_110,0.7024972425605274,2.123326871757772,24.78424081847548,0.14605708205039084,3.2949686051480196,48.44920605061454
1988_116,1.4100921937980673,3.1791127945184625,24.72158496093753,0.20843940745678885,4.811208418986525,51.33751366250743
1988_120,0.525287868272517,1.7769501831436232,19.896736430283724,0.04713310920721877,2.601623711575212,41.289347771832055
1988_124,0.6562958805130285,1.8138936513274804,25.579671904612496,0.20767802231065055,3.081502216585494,51.10132895452888
1988_125,0.4273158968170684,1.4643713347156444,17.81659497070314,0.008184461816462684,2.1346996290404507,32.96165139756586
1988_139,2.612505666606367,3.9070177440943854,53.61291348724222,0.7977180033891718,6.313514308807471,71.31369194156078
1988_144,0.7192799090063325,2.2110808393189263,24.49747324951132,0.10818186413102038,3.4218486987005856,46.44593408810782
1988_145,0.8649061785369532,2.250796216991956,32.69913544326434,0.25516025894487615,3.824648453108174,53.55202177114543
1988_152,0.5923167546408622,1.8831423130560734,22.42347723444161,0.06514457230984236,2.895964541402361,42.77103628224411
1988_153,0.9762084925400596,2.5806456176860237,57.43954717475021,0.43523926340456437,4.532018680170283,59.50609518787805
1988_154,0.6686875712610019,2.0587851300735323,22.634536475724012,0.07597406469518608,3.222699391907586,43.71831232835672
1988_16,5.321144607775985,7.9240825417138465,45.69904972534185,1.054846948126747,9.918065465313841,78.16310469746016
1988_19,4.1839586570708045,6.362233540862109,45.37844095561363,0.7759010056206017,9.619415911570721,72.35161585388715
1988_20,3.9952294022825185,6.568309181193125,43.18187789173526,0.929266677336885,8.615674250757113,76.67127211330356
1988_22,3.8207111010244077,6.048022959058754,46.93942355033931,0.8262261920657674,8.399448370215108,74.10687249820926
1988_26,0.8565471885909057,2.6087719224663397,23.053783669551045,0.20139210314605055,3.949635649873216,50.87191061481899
1988_30,0.8318226058555871,3.077703891794771,17.20434951171876,0.17648685936153885,3.87590760663287,49.89899056446085
1988_33,0.8850057698487325,3.2440496841299353,17.29208857812748,0.24279788862356816,4.024155940285549,52.55012497020192
1988_34,0.9401222609534674,3.396464192533954,19.407180175781285,0.3101433681696065,4.192005020621281,54.867741771160446
1988_37,1.170740251980197,3.578487438990126,17.848213402012195,0.36639911342430154,4.50841576735993,56.879601001232075
1988_38,0.8591955953012294,3.100878145942537,17.52746995298286,0.2214108902514289,3.932484749389294,51.70334562080461
1988_40,0.8047836476370347,2.2039402538131942,26.141584193948,0.14769963388770027,3.6051460064169705,48.4249981920065
1988_41,0.8109040838776796,2.9045008290262437,16.877870466330407,0.18168671273660575,3.7697577947061127,49.96294656970374
1988_42,0.8998037417851843,3.206740820482854,18.985662963867203,0.24911239164429505,4.078250405748948,52.71756547493309
1988_43,0.8277382300021427,2.9054505849862116,18.959168673001827,0.19434249918435192,3.82047215234965,50.40873382725317
