GID,YEAR,mean_ndmi,fire_processing_time_seconds,total_processing_time_seconds,avg_processing_time_seconds
2000_532,2000,0.280049131462719,1.6812028884887695,4404.3787977695465,3.7388614582084436
2001_357,2001,0.2639495525027358,1.6934819221496582,4404.3787977695465,3.7388614582084436
1986_49,1986,0.24027561044851925,1.9943349361419678,4404.3787977695465,3.7388614582084436
1986_45,1986,0.2512355788068506,1.8371965885162354,4404.3787977695465,3.7388614582084436
1986_70,1986,0.2711793751724406,1.8443632125854492,4404.3787977695465,3.7388614582084436
1987_72,1987,0.24683502973890747,1.7367668151855469,4404.3787977695465,3.7388614582084436
1988_99,1988,0.2551171390192754,5.511101961135864,4404.3787977695465,3.7388614582084436
1988_96,1988,0.24630675432068672,2.265252113342285,4404.3787977695465,3.7388614582084436
1988_125,1988,0.15772183183824426,1.543269157409668,4404.3787977695465,3.7388614582084436
1988_110,1988,0.21000213828594136,2.151902198791504,4404.3787977695465,3.7388614582084436
1988_120,1988,0.17586993012816726,10.226398944854736,4404.3787977695465,3.7388614582084436
1988_90,1988,0.23098004316292703,6.160261869430542,4404.3787977695465,3.7388614582084436
1988_81,1988,0.23846118611602396,2.56274676322937,4404.3787977695465,3.7388614582084436
1989_1028,1989,0.044556722681695186,1.2082507610321045,4404.3787977695465,3.7388614582084436
1989_885,1989,0.058087877387375426,2.2757251262664795,4404.3787977695465,3.7388614582084436
1989_1156,1989,0.18554586247892393,1.7069251537322998,4404.3787977695465,3.7388614582084436
1989_789,1989,0.24004233788225982,1.3641798496246338,4404.3787977695465,3.7388614582084436
1989_1039,1989,0.19156630234550284,3.650658130645752,4404.3787977695465,3.7388614582084436
1989_888,1989,0.01959487628558558,2.0702600479125977,4404.3787977695465,3.7388614582084436
1989_1195,1989,0.10093926900783175,25.774715185165405,4404.3787977695465,3.7388614582084436
1989_1255,1989,0.14525332658760118,1.477618932723999,4404.3787977695465,3.7388614582084436
1989_1169,1989,0.17667678410919213,1.338433027267456,4404.3787977695465,3.7388614582084436
1989_1088,1989,0.19058006215715054,1.8555588722229004,4404.3787977695465,3.7388614582084436
1989_920,1989,-0.009550360077059296,1.5810198783874512,4404.3787977695465,3.7388614582084436
1989_1337,1989,0.1196466052765391,1.031498908996582,4404.3787977695465,3.7388614582084436
1989_806,1989,0.2387973152368265,1.423098087310791,4404.3787977695465,3.7388614582084436
1989_1106,1989,0.25150076263576626,1.0872209072113037,4404.3787977695465,3.7388614582084436
1989_1131,1989,0.1356154327653958,1.6750438213348389,4404.3787977695465,3.7388614582084436
1990_47,1990,0.25330088161874753,3.980823040008545,4404.3787977695465,3.7388614582084436
1990_99,1990,0.19553729937482728,1.5285072326660156,4404.3787977695465,3.7388614582084436
1990_29,1990,0.20308946268962094,1.1313691139221191,4404.3787977695465,3.7388614582084436
1991_108,1991,0.21837612601825993,2.738417863845825,4404.3787977695465,3.7388614582084436
1992_36,1992,0.18227003006568526,1.0692172050476074,4404.3787977695465,3.7388614582084436
1992_30,1992,0.1108461470532803,3.916606903076172,4404.3787977695465,3.7388614582084436
1992_24,1992,0.1961292289517786,3.0540928840637207,4404.3787977695465,3.7388614582084436
1993_13,1993,0.30978614293088286,1.3357789516448975,4404.3787977695465,3.7388614582084436
1993_16,1993,0.20288102554282972,2.513887882232666,4404.3787977695465,3.7388614582084436
1993_14,1993,0.19415718220125386,2.6775169372558594,4404.3787977695465,3.7388614582084436
1993_15,1993,0.2638158833898842,2.81229305267334,4404.3787977695465,3.7388614582084436
1994_73,1994,0.17361739730653053,3.5368149280548096,4404.3787977695465,3.7388614582084436
1994_45,1994,0.19334946147723117,6.022434234619141,4404.3787977695465,3.7388614582084436
1994_110,1994,0.0943120645118978,1.316868782043457,4404.3787977695465,3.7388614582084436
1994_36,1994,0.15122787076179908,1.765981912612915,4404.3787977695465,3.7388614582084436
1995_1041,1995,0.1104283825812004,5.934115886688232,4404.3787977695465,3.7388614582084436
1995_1036,1995,0.1078672535610661,2.0219879150390625,4404.3787977695465,3.7388614582084436
1995_1097,1995,0.13457164275181202,2.6820967197418213,4404.3787977695465,3.7388614582084436
1995_1031,1995,0.13126780160071977,2.174755096435547,4404.3787977695465,3.7388614582084436
