GID,NFIREID,fire_id,evi_period_start,evi_period_end,total_pixels,mean_evi,fire_processing_time_seconds,total_processing_time_seconds,avg_processing_time_seconds
1989_789,789,1989_789,1989-05-18,1989-06-18,3344,0.24792852140857366,2.875922203063965,6863.984381914139,5.826811869197062
1989_1039,1039,1989_1039,1989-05-18,1989-06-18,33036,0.2776205364944509,2.647308826446533,6863.984381914139,5.826811869197062
1989_888,888,1989_888,1989-06-12,1989-07-12,103118,0.1359040976782543,4.261329889297485,6863.984381914139,5.826811869197062
1989_1195,1195,1989_1195,1989-06-15,1989-07-15,8717,0.26602672882548817,2.6210649013519287,6863.984381914139,5.826811869197062
1989_1255,1255,1989_1255,1989-06-16,1989-07-16,0,,2.418320894241333,6863.984381914139,5.826811869197062
1989_1169,1169,1989_1169,1989-06-17,1989-07-17,0,,3.255155086517334,6863.984381914139,5.826811869197062
1989_1088,1088,1989_1088,1989-06-19,1989-07-19,0,,2.5454108715057373,6863.984381914139,5.826811869197062
1989_920,920,1989_920,1989-06-23,1989-07-23,4892,0.2190281720163369,2.484844207763672,6863.984381914139,5.826811869197062
1989_1337,1337,1989_1337,1989-06-23,1989-07-23,0,,1.7028558254241943,6863.984381914139,5.826811869197062
1989_806,806,1989_806,1989-06-26,1989-07-26,2861,0.26451616064725525,2.6166701316833496,6863.984381914139,5.826811869197062
1989_1106,1106,1989_1106,1989-06-26,1989-07-26,2676,0.3463648556314354,2.200205087661743,6863.984381914139,5.826811869197062
1989_1131,1131,1989_1131,1989-07-12,1989-08-12,0,,2.507449150085449,6863.984381914139,5.826811869197062
1990_47,47,1990_47,1990-07-08,1990-08-08,245493,0.32991064032111017,4.143962144851685,6863.984381914139,5.826811869197062
1990_99,99,1990_99,1990-07-15,1990-08-15,18546,0.3415698804242695,2.5760061740875244,6863.984381914139,5.826811869197062
1990_29,29,1990_29,1990-07-22,1990-08-22,4185,0.2987859648153076,1.9745018482208252,6863.984381914139,5.826811869197062
1991_108,108,1991_108,1991-06-06,1991-07-06,21009,0.3433426483455637,2.2723441123962402,6863.984381914139,5.826811869197062
1992_36,36,1992_36,1992-05-11,1992-06-11,2138,0.26266628653428553,1.758174180984497,6863.984381914139,5.826811869197062
1992_30,30,1992_30,1992-05-12,1992-06-12,114532,0.21067216654245155,5.218165159225464,6863.984381914139,5.826811869197062
1992_24,24,1992_24,1992-05-13,1992-06-13,102786,0.27339640042425273,5.543576002120972,6863.984381914139,5.826811869197062
1993_13,13,1993_13,1993-05-11,1993-06-11,282,0.30106375555056564,2.992218255996704,6863.984381914139,5.826811869197062
1993_16,16,1993_16,1993-05-11,1993-06-11,47545,0.24614064105822808,3.4646902084350586,6863.984381914139,5.826811869197062
1993_14,14,1993_14,1993-05-19,1993-06-19,52514,0.28837250803159203,2.6714439392089844,6863.984381914139,5.826811869197062
1993_15,15,1993_15,1993-05-20,1993-06-20,131874,0.26823627618645424,7.323149919509888,6863.984381914139,5.826811869197062
1994_73,73,1994_73,1994-05-06,1994-06-06,102823,0.24869625634839537,2.7559571266174316,6863.984381914139,5.826811869197062
1994_45,45,1994_45,1994-05-08,1994-06-08,256655,0.2147395427864865,7.657074928283691,6863.984381914139,5.826811869197062
1994_110,110,1994_110,1994-05-11,1994-06-11,4362,0.2604500529021838,2.0775790214538574,6863.984381914139,5.826811869197062
