GID,date,cmi_anomaly
1986_11,1983-05-01,7.8658174809191586
1986_11,1983-06-01,85.69395651757726
1986_11,1983-07-01,51.88710319304437
1986_11,1983-08-01,8.407595868236328
1986_11,1983-09-01,-51.01023083850298
1986_11,1983-10-01,42.65846072202889
1986_11,1983-11-01,26.700999897229703
1986_11,1983-12-01,-8.159758974829362
1986_11,1984-01-01,2.819222898936058
1986_11,1984-02-01,7.75971869766979
1986_11,1984-03-01,-6.961879056920111
1986_11,1984-04-01,-12.220053623743166
1986_11,1984-05-01,1.54417187877824
1986_11,1984-06-01,87.32902215754066
1986_11,1984-07-01,146.52234549937899
1986_11,1984-08-01,15.50308590619667
1986_11,1984-09-01,43.6101932685566
1986_11,1984-10-01,84.9785562542839
1986_11,1984-11-01,13.947150031401879
1986_11,1984-12-01,8.799484187425204
1986_11,1985-01-01,-0.3082202611481719
1986_11,1985-02-01,-2.1811620101314517
1986_11,1985-03-01,6.219314358163441
1986_11,1985-04-01,-8.779485714857824
1986_11,1985-05-01,11.05350065307493
1986_11,1985-06-01,120.26058789561351
1986_11,1985-07-01,60.17851492761828
1986_11,1985-08-01,132.25072863644994
1986_11,1985-09-01,41.485092542060926
1986_11,1985-10-01,30.055311487957713
1986_11,1985-11-01,19.270504888291075
1986_11,1985-12-01,0.9862594859376301
1986_11,1986-01-01,3.903891785336217
1986_11,1986-02-01,1.551310947254258
1986_11,1986-03-01,27.039571168243764
1986_11,1986-04-01,72.80089342937943
1986_32,1983-08-01,3.8051085009676733
1986_32,1983-09-01,-25.13315655960356
1986_32,1983-10-01,52.530791752567055
1986_32,1983-11-01,73.60744304460663
1986_32,1983-12-01,-5.591072385318963
1986_32,1984-01-01,-2.8430207185410232
1986_32,1984-02-01,6.260285644844831
1986_32,1984-03-01,-11.505419873143012
1986_32,1984-04-01,-35.77562160821819
1986_32,1984-05-01,-9.597601932448317
1986_32,1984-06-01,50.43552650425056
1986_32,1984-07-01,29.380952675137724
1986_32,1984-08-01,-32.581132702169214
1986_32,1984-09-01,71.59584591774473
1986_32,1984-10-01,34.737319745383616
1986_32,1984-11-01,44.447648867951344
1986_32,1984-12-01,26.26475131479734
1986_32,1985-01-01,-7.040343135543903
1986_32,1985-02-01,-11.667746401180953
1986_32,1985-03-01,8.424965512268127
1986_32,1985-04-01,83.56391577172356
1986_32,1985-05-01,24.204969334289007
1986_32,1985-06-01,88.64034651220044
1986_32,1985-07-01,59.13485300701501
1986_32,1985-08-01,75.23032388437596
1986_32,1985-09-01,120.13379915602962
1986_32,1985-10-01,40.70205513510521
1986_32,1985-11-01,45.94454388890324
1986_32,1985-12-01,-4.948351476305561
1986_32,1986-01-01,-4.899175141003013
1986_32,1986-02-01,-11.944319719515473
1986_32,1986-03-01,17.063250351582408
1986_32,1986-04-01,23.57089258551493
1986_32,1986-05-01,-148.7751334766975
1986_32,1986-06-01,5.151449399734108
1986_32,1986-07-01,60.765886423487046
1986_40,1983-05-01,16.708118803347997
1986_40,1983-06-01,11.779233988837827
1986_40,1983-07-01,24.241700951566852
1986_40,1983-08-01,-3.74358908614683
1986_40,1983-09-01,9.83735632122185
1986_40,1983-10-01,47.62283936357451
1986_40,1983-11-01,47.62854678364107
1986_40,1983-12-01,-4.816038319976101
1986_40,1984-01-01,7.490217527780938
1986_40,1984-02-01,4.5642542385000056
1986_40,1984-03-01,-10.862731161139612
1986_40,1984-04-01,-2.914595310933098
1986_40,1984-05-01,-5.231301824996361
1986_40,1984-06-01,51.93923074942602
1986_40,1984-07-01,82.27761492553647
1986_40,1984-08-01,5.862863353194182
1986_40,1984-09-01,50.5206411781038
1986_40,1984-10-01,46.146919364136096
1986_40,1984-11-01,41.256212256121884
1986_40,1984-12-01,11.39006444220632
1986_40,1985-01-01,1.714549003596428
1986_40,1985-02-01,-4.133516072597843
1986_40,1985-03-01,15.702134918045072
1986_40,1985-04-01,9.499924787371025
1986_40,1985-05-01,19.182474363761724
1986_40,1985-06-01,145.95194526930476
