GID,AOU
2011_379,FALSE
2011_399,FALSE
2011_411,FALSE
2011_423,FALSE
2011_432,FALSE
2011_433,FALSE
2011_438,FALSE
1998_893,FALSE
2011_453,FALSE
1998_895,FALSE
1998_896,FALSE
1998_899,FALSE
1998_901,FALSE
1989_1156,FALSE
2011_507,FALSE
1996_357,FALSE
1996_359,FALSE
1996_364,FALSE
1996_383,FALSE
1996_388,FALSE
1996_391,FALSE
1996_394,FALSE
1996_396,FALSE
2011_605,FALSE
2011_606,FALSE
1996_427,FALSE
1996_429,FALSE
1996_431,FALSE
1996_437,FALSE
1996_438,FALSE
1996_442,FALSE
1996_445,FALSE
1996_451,FALSE
1996_454,FALSE
2011_736,FALSE
1996_460,FALSE
2011_739,FALSE
1996_469,FALSE
1996_472,FALSE
1996_487,FALSE
2010_475,FALSE
2010_487,FALSE
2010_531,FALSE
2010_532,FALSE
1996_499,FALSE
1996_507,FALSE
1989_1329,FALSE
2010_877,FALSE
2010_878,FALSE
2010_882,FALSE
2010_883,FALSE
1999_434,FALSE
1999_435,FALSE
2009_410,FALSE
1989_1376,FALSE
1990_50,FALSE
1989_1452,FALSE
1990_62,FALSE
2009_1217,FALSE
1990_71,FALSE
2009_1239,FALSE
1999_705,FALSE
2009_1241,FALSE
2009_1242,FALSE
2009_1244,FALSE
2008_291,FALSE
1996_569,TRUE
1996_575,TRUE
2007_273,FALSE
2007_273,FALSE
1998_588,FALSE
1998_593,FALSE
2007_993,TRUE
1995_1403,TRUE
1988_47,TRUE
2002_454,FALSE
2006_588,FALSE
1998_613,FALSE
2002_467,FALSE
1989_867,FALSE
1989_869,FALSE
2002_513,FALSE
2002_517,FALSE
2002_536,FALSE
1988_75,FALSE
2002_550,FALSE
2002_556,FALSE
1988_81,FALSE
2002_563,FALSE
1988_83,FALSE
2002_566,FALSE
2002_566,FALSE
2002_570,FALSE
2002_575,FALSE
2002_579,FALSE
1988_92,FALSE
2002_599,FALSE
1994_56,FALSE
1994_79,FALSE
1989_985,FALSE
2002_645,FALSE
1994_94,FALSE
1988_99,FALSE
1988_101,FALSE
1994_109,FALSE
1988_116,FALSE
2005_472,TRUE
1998_866,FALSE
1998_867,FALSE
1988_139,FALSE
2002_718,FALSE
1998_870,FALSE
1988_152,FALSE
1988_153,FALSE
1993_26,FALSE
1998_874,FALSE
1998_875,FALSE
1998_879,FALSE
1992_21,FALSE
1992_24,FALSE
1992_27,FALSE
2002_738,FALSE
1996_727,FALSE
1995_779,FALSE
1987_49,FALSE
1987_66,FALSE
2001_314,TRUE
1995_848,FALSE
1987_72,FALSE
1987_76,FALSE
1995_886,FALSE
1987_95,FALSE
1987_101,FALSE
1991_26,TRUE
1986_32,FALSE
1995_953,FALSE
1995_955,FALSE
2006_888,FALSE
1995_968,FALSE
1995_983,FALSE
2006_893,FALSE
2006_894,FALSE
1995_996,FALSE
1986_60,FALSE
2005_427,FALSE
2005_463,FALSE
2003_889,FALSE
1995_1031,FALSE
1995_1032,FALSE
1995_1033,FALSE
1995_1036,FALSE
1995_1041,FALSE
1995_1045,FALSE
2000_371,FALSE
1991_119,FALSE
1991_120,FALSE
2000_538,FALSE
1995_1079,FALSE
2003_466,FALSE
2003_468,FALSE
2003_469,FALSE
2003_485,FALSE
2003_501,FALSE
2003_518,FALSE
2003_532,FALSE
2003_537,FALSE
1999_406,FALSE
2003_569,FALSE
2003_585,FALSE
2003_635,FALSE
1989_1342,FALSE
1999_433,FALSE
1996_525,FALSE
1989_1364,FALSE
1999_437,FALSE
2003_717,FALSE
1989_1368,FALSE
1990_61,FALSE
1989_1377,FALSE
1990_63,FALSE
1996_544,FALSE
1999_702,FALSE
1996_551,FALSE
1990_74,FALSE
1999_712,FALSE
1999_714,FALSE
1991_79,FALSE
2003_891,FALSE
2003_892,FALSE
2003_893,FALSE
1998_583,FALSE
1996_580,TRUE
1989_789,FALSE
2003_898,FALSE
1998_597,FALSE
1998_605,FALSE
1998_610,FALSE
2002_462,FALSE
1995_1406,FALSE
1998_618,FALSE
1995_1408,FALSE
1995_1409,FALSE
1998_650,FALSE
1998_651,FALSE
1998_660,FALSE
2002_545,FALSE
1989_885,FALSE
1989_888,FALSE
2002_559,FALSE
1995_1419,FALSE
2002_563,FALSE
2001_361,TRUE
1994_20,FALSE
1994_33,FALSE
1989_928,TRUE
2001_365,FALSE
2002_584,FALSE
1994_55,FALSE
2001_369,FALSE
1989_965,TRUE
2001_372,FALSE
2001_373,FALSE
1989_1005,FALSE
2002_664,TRUE
1994_105,FALSE
1989_1025,FALSE
1990_75,FALSE
1991_82,FALSE
1991_84,FALSE
2001_382,FALSE
1998_868,FALSE
1989_1047,FALSE
1993_13,FALSE
1993_15,FALSE
1993_16,FALSE
1998_873,FALSE
1989_1071,FALSE
1989_1072,FALSE
1989_1075,FALSE
1998_880,FALSE
1998_881,FALSE
1998_882,FALSE
1998_883,FALSE
2002_742,FALSE
2001_265,FALSE
2001_284,FALSE
2001_288,FALSE
1998_890,FALSE
1992_41,FALSE
1992_43,FALSE
1989_1124,FALSE
1995_1180,TRUE
2001_362,FALSE
2001_363,FALSE
1989_1149,FALSE
1989_1365,FALSE
