GID,tif,median,percentile_95
1995_1241,1995_1241_rbr_w_offset.tif,237.328369140625,372.56597900390625
2021_1619,2021_1619_rbr_w_offset.tif,319.6374816894531,454.6418762207031
2001_371,2001_371_rbr_w_offset.tif,314.3930358886719,453.0464172363281
2011_731,2011_731_rbr_w_offset.tif,241.48550415039062,501.3522644042969
2003_735,2003_735_rbr_w_offset.tif,272.40264892578125,487.759033203125
1998_746,1998_746_rbr_w_offset.tif,219.64724731445312,382.7313232421875
2006_872,2006_872_rbr_w_offset.tif,257.01861572265625,330.99346923828125
2018_252,2018_252_rbr_w_offset.tif,241.97828674316406,363.5466003417969
2006_894,2006_894_rbr_w_offset.tif,-5.782310485839844,163.66571044921875
1994_55,1994_55_rbr_w_offset.tif,290.8558654785156,462.4978332519531
2015_1049,2015_1049_rbr_w_offset.tif,156.01727294921875,321.0812072753906
2006_676,2006_676_rbr_w_offset.tif,270.9206237792969,464.93115234375
1989_1078,1989_1078_rbr_w_offset.tif,212.42381286621094,414.0761413574219
2018_3146,2018_3146_rbr_w_offset.tif,196.6602020263672,386.1443786621094
2006_690,2006_690_rbr_w_offset.tif,288.96990966796875,481.16943359375
2015_1091,2015_1091_rbr_w_offset.tif,-66.14643859863281,319.45330810546875
1996_625,1996_625_rbr_w_offset.tif,51.75645446777344,349.0041198730469
2018_969,2018_969_rbr_w_offset.tif,151.5591583251953,347.8296203613281
1989_1342,1989_1342_rbr_w_offset.tif,272.9598083496094,412.7939147949219
1987_31,1987_31_rbr_w_offset.tif,217.57156372070312,379.5296630859375
1998_845,1998_845_rbr_w_offset.tif,232.24197387695312,354.994384765625
1995_848,1995_848_rbr_w_offset.tif,267.82958984375,431.64434814453125
1993_15,1993_15_rbr_w_offset.tif,-6.519333839416504,325.92938232421875
2017_2037,2017_2037_rbr_w_offset.tif,232.1080322265625,491.3312072753906
2024_501,2024_501_rbr_w_offset.tif,300.91510009765625,437.3835144042969
2012_604,2012_604_rbr_w_offset.tif,252.0897216796875,401.56298828125
1996_544,1996_544_rbr_w_offset.tif,308.7584533691406,497.77838134765625
1999_432,1999_432_rbr_w_offset.tif,0.0,0.0
1996_640,1996_640_rbr_w_offset.tif,232.5032501220703,510.38775634765625
1989_1319,1989_1319_rbr_w_offset.tif,358.6461486816406,510.9706115722656
1989_1124,1989_1124_rbr_w_offset.tif,207.13494873046875,381.239990234375
2006_714,2006_714_rbr_w_offset.tif,36.56983947753906,222.9805450439453
2018_736,2018_736_rbr_w_offset.tif,56.25194549560547,323.1593933105469
2011_557,2011_557_rbr_w_offset.tif,287.15509033203125,454.2544860839844
2001_314,2001_314_rbr_w_offset.tif,259.5973815917969,425.01153564453125
1988_20,1988_20_rbr_w_offset.tif,138.38839721679688,285.05120849609375
2005_598,2005_598_rbr_w_offset.tif,277.4252624511719,438.44915771484375
2003_750,2003_750_rbr_w_offset.tif,275.43328857421875,414.38323974609375
2013_728,2013_728_rbr_w_offset.tif,271.3352355957031,424.4974670410156
1992_34,1992_34_rbr_w_offset.tif,263.5225830078125,436.52532958984375
1991_82,1991_82_rbr_w_offset.tif,300.2977600097656,447.8241271972656
2021_2313,2021_2313_rbr_w_offset.tif,117.69562530517578,300.5693054199219
1995_1400,1995_1400_rbr_w_offset.tif,153.7330780029297,321.444091796875
1995_1205,1995_1205_rbr_w_offset.tif,185.67172241210938,304.3683166503906
1998_605,1998_605_rbr_w_offset.tif,175.59593200683594,351.0655822753906
2011_373,2011_373_rbr_w_offset.tif,387.255126953125,541.5059204101562
2021_1066,2021_1066_rbr_w_offset.tif,125.98577880859375,262.369140625
2002_559,2002_559_rbr_w_offset.tif,363.6787414550781,502.79412841796875
2018_913,2018_913_rbr_w_offset.tif,0.0,196.81298828125
2003_894,2003_894_rbr_w_offset.tif,301.2708740234375,416.8805236816406
1989_789,1989_789_rbr_w_offset.tif,-7.047951698303223,243.2646026611328
2019_605,2019_605_rbr_w_offset.tif,240.49766540527344,481.7641296386719
2013_933,2013_933_rbr_w_offset.tif,292.7286376953125,441.7864990234375
1996_583,1996_583_rbr_w_offset.tif,284.1930847167969,475.2545471191406
2012_1051,2012_1051_rbr_w_offset.tif,197.81533813476562,372.623291015625
2013_1193,2013_1193_rbr_w_offset.tif,312.8904113769531,477.8090515136719
2012_747,2012_747_rbr_w_offset.tif,275.7183837890625,405.5888671875
1996_604,1996_604_rbr_w_offset.tif,315.4665832519531,504.06304931640625
1989_1186,1989_1186_rbr_w_offset.tif,281.98077392578125,515.8228759765625
1998_882,1998_882_rbr_w_offset.tif,289.8318176269531,397.79833984375
2013_851,2013_851_rbr_w_offset.tif,267.8017883300781,456.84521484375
1995_869,1995_869_rbr_w_offset.tif,285.40386962890625,443.9576416015625
2006_750,2006_750_rbr_w_offset.tif,171.4860382080078,297.3293151855469
2017_2475,2017_2475_rbr_w_offset.tif,177.67034912109375,368.3438720703125
1989_1264,1989_1264_rbr_w_offset.tif,286.3684997558594,472.1074523925781
1989_1081,1989_1081_rbr_w_offset.tif,320.8152160644531,488.6236267089844
2022_254,2022_254_rbr_w_offset.tif,217.18296813964844,467.5146484375
2000_540,2000_540_rbr_w_offset.tif,21.603073120117188,394.3087463378906
1995_988,1995_988_rbr_w_offset.tif,332.3684387207031,541.8609619140625
1988_124,1988_124_rbr_w_offset.tif,246.9694366455078,443.94970703125
1995_1182,1995_1182_rbr_w_offset.tif,391.98681640625,567.5087280273438
2017_1803,2017_1803_rbr_w_offset.tif,82.25560760498047,220.35047912597656
1995_1164,1995_1164_rbr_w_offset.tif,356.6300354003906,477.4906311035156
1986_54,1986_54_rbr_w_offset.tif,254.3162841796875,469.41314697265625
1988_82,1988_82_rbr_w_offset.tif,224.1280517578125,395.91033935546875
2018_772,2018_772_rbr_w_offset.tif,212.87042236328125,398.5060119628906
2015_1988,2015_1988_rbr_w_offset.tif,222.0919189453125,389.90789794921875
2011_513,2011_513_rbr_w_offset.tif,309.27838134765625,466.4399108886719
1988_64,1988_64_rbr_w_offset.tif,282.8791198730469,488.2564697265625
1998_660,1998_660_rbr_w_offset.tif,141.13612365722656,369.8360595703125
1989_1028,1989_1028_rbr_w_offset.tif,22.066566467285156,349.4689636230469
1993_8,1993_8_rbr_w_offset.tif,330.0115661621094,505.5066833496094
1996_597,1996_597_rbr_w_offset.tif,241.26229858398438,413.61492919921875
1989_1016,1989_1016_rbr_w_offset.tif,327.51422119140625,519.6783447265625
2002_691,2002_691_rbr_w_offset.tif,49.567481994628906,227.97715759277344
1996_490,1996_490_rbr_w_offset.tif,59.7458610534668,396.08502197265625
1996_675,1996_675_rbr_w_offset.tif,0.8898743391036987,232.7240753173828
2018_106,2018_106_rbr_w_offset.tif,128.72393798828125,375.9141540527344
2010_877,2010_877_rbr_w_offset.tif,132.80621337890625,315.1427307128906
1995_1414,1995_1414_rbr_w_offset.tif,1.7579984664916992,24.444156646728516
1991_70,1991_70_rbr_w_offset.tif,285.1024169921875,390.9677734375
2005_472,2005_472_rbr_w_offset.tif,182.0292510986328,455.5592041015625
1989_878,1989_878_rbr_w_offset.tif,242.6514129638672,410.08544921875
2011_483,2011_483_rbr_w_offset.tif,353.0003967285156,524.2128295898438
2021_1573,2021_1573_rbr_w_offset.tif,156.47427368164062,303.72113037109375
2018_1598,2018_1598_rbr_w_offset.tif,129.09754943847656,358.30889892578125
1998_674,1998_674_rbr_w_offset.tif,-92.78317260742188,441.6074523925781
2011_507,2011_507_rbr_w_offset.tif,328.51434326171875,513.3684692382812
1988_96,1988_96_rbr_w_offset.tif,116.1076889038086,492.982421875
1986_40,1986_40_rbr_w_offset.tif,308.8315734863281,508.3455505371094
2023_189,2023_189_rbr_w_offset.tif,244.06414794921875,382.176025390625
2006_879,2006_879_rbr_w_offset.tif,250.65626525878906,333.3740539550781
1994_86,1994_86_rbr_w_offset.tif,284.10595703125,535.5401611328125
1996_717,1996_717_rbr_w_offset.tif,213.6821746826172,482.5059509277344
2012_654,2012_654_rbr_w_offset.tif,34.46660232543945,332.6184387207031
2015_1042,2015_1042_rbr_w_offset.tif,126.43275451660156,413.83013916015625
2017_2059,2017_2059_rbr_w_offset.tif,179.1610565185547,460.9851379394531
2015_1145,2015_1145_rbr_w_offset.tif,76.18696594238281,242.13523864746094
2006_744,2006_744_rbr_w_offset.tif,97.01531219482422,294.0972595214844
1998_870,1998_870_rbr_w_offset.tif,297.9160461425781,523.3970336914062
1999_386,1999_386_rbr_w_offset.tif,233.68142700195312,459.79266357421875
1989_1377,1989_1377_rbr_w_offset.tif,212.06080627441406,408.6629333496094
1998_896,1998_896_rbr_w_offset.tif,9.357804298400879,384.9701843261719
1990_89,1990_89_rbr_w_offset.tif,271.29376220703125,410.31573486328125
2013_1187,2013_1187_rbr_w_offset.tif,11.890385627746582,235.86976623535156
1989_1155,1989_1155_rbr_w_offset.tif,308.36944580078125,496.20123291015625
2009_410,2009_410_rbr_w_offset.tif,-34.7515754699707,391.8891906738281
1998_851,1998_851_rbr_w_offset.tif,182.18875122070312,310.3841857910156
1989_1368,1989_1368_rbr_w_offset.tif,345.01519775390625,580.7003784179688
1998_889,1998_889_rbr_w_offset.tif,275.20037841796875,412.1380920410156
2006_580,2006_580_rbr_w_offset.tif,212.64892578125,379.49249267578125
2002_734,2002_734_rbr_w_offset.tif,-34.11639404296875,354.273193359375
2018_2810,2018_2810_rbr_w_offset.tif,164.57443237304688,342.3490905761719
2015_1085,2015_1085_rbr_w_offset.tif,289.6424560546875,489.60748291015625
1995_983,1995_983_rbr_w_offset.tif,155.6436309814453,359.5245056152344
2014_787,2014_787_rbr_w_offset.tif,57.92375946044922,283.4046325683594
