GID,ecoregion,YEAR,fire_cause,size_ha,lon,lat,start_date,end_date,ecoregion_lvl,PRESCRI
1988_98,Big Trout Lake,1988,Natural,1181.93977403,-92.8594574285697,52.8282458218043,1988-08-04,1988-10-05,1,
2021_1169,Big Trout Lake,2021,Natural,2631.60402682,-85.9173325816661,50.2744428590752,2021-07-13,2021-08-27,1,
2021_1197,Big Trout Lake,2021,Natural,245.767740251,-90.5988263258685,53.3787614512676,2021-07-03,2021-07-08,1,
1988_110,Big Trout Lake,1988,Natural,259.230033358,-90.460469640741,53.0149932033188,1988-07-10,1988-08-09,1,
2021_1290,Big Trout Lake,2021,Natural,410.163575884,-88.9176433761382,51.6164514483269,2021-07-21,2021-07-22,1,
1988_120,Big Trout Lake,1988,Natural,1049.33573299,-88.9681065702052,53.2528294851281,1988-08-11,1988-08-31,1,
1988_124,Big Trout Lake,1988,Natural,1413.8220316,-93.1167320687203,53.4606250259843,1988-08-06,1988-10-05,1,
1988_125,Big Trout Lake,1988,Natural,291.841151714,-93.6246712372233,53.5347527659593,1988-07-06,1988-08-06,1,
2021_1437,Big Trout Lake,2021,Natural,323.718845401,-88.7333774584645,51.8135702504763,2021-07-22,2021-07-23,1,
1988_144,Big Trout Lake,1988,Natural,189.269716447,-87.5219628583111,53.7318672357203,1988-07-05,1988-08-07,1,
1988_145,Big Trout Lake,1988,Natural,1599.08361739,-92.7374967905132,53.9964022812201,1988-07-23,1988-10-05,1,
2021_1619,Big Trout Lake,2021,Natural,97.5226122549,-88.9028508331653,51.2614557596788,2021-07-15,2021-08-16,1,
2021_1631,Big Trout Lake,2021,Natural,385.925839649,-87.7704799539704,52.111883842287,2021-07-06,2021-07-08,1,
1988_153,Big Trout Lake,1988,Natural,18747.9728327,-93.210111876023,53.9640651255951,1988-07-13,1988-10-05,1,
1988_154,Big Trout Lake,1988,Natural,198.87165817,-87.8388328608892,53.8965220249001,1988-07-05,1988-08-07,1,
2021_1898,Big Trout Lake,2021,Natural,315.038743923,-88.4039610898917,51.3659717264408,2021-07-20,2021-07-22,1,
2021_1968,Big Trout Lake,2021,Natural,83.2017286392,-86.7476123365663,51.3526629169188,2021-07-13,2021-07-29,1,
2002_734,Big Trout Lake,2002,Natural,52.2865138547,-88.6590240537947,53.9531899006187,2002-07-18,2002-08-15,1,
1987_29,Big Trout Lake,1987,Natural,273.882535848,-87.6162376687792,51.1288978506267,1987-06-23,1987-07-13,1,
1996_723,Big Trout Lake,1996,Natural,200.899826155,-87.1093111484911,52.4057529691965,1996-06-13,1996-07-07,1,
1996_725,Big Trout Lake,1996,Natural,222.470877831,-90.080208614914,53.3371184545157,1996-07-15,1996-08-14,1,
2021_2309,Big Trout Lake,2021,Natural,156.396828628,-87.2907281087136,53.3418333186506,2021-08-03,2021-09-21,1,
2021_2311,Big Trout Lake,2021,Natural,471.343749837,-88.0186458688292,52.0518504836114,2021-07-17,2021-09-01,1,
1995_807,Big Trout Lake,1995,Undetermined,4771.35675144,-91.5143015722536,54.5473674957087,1995-06-18,1995-06-26,1,
1995_821,Big Trout Lake,1995,Undetermined,2367.61585195,-91.2747456500046,54.5027922298461,1995-06-15,1995-06-19,1,
1995_824,Big Trout Lake,1995,Undetermined,2369.98584652,-89.4423923449117,54.3943574750182,1995-06-18,1995-06-25,1,
2021_2317,Big Trout Lake,2021,Natural,191.185240041,-90.0166064186803,52.5636208465834,2021-07-16,2021-09-16,1,
1995_860,Big Trout Lake,1995,Undetermined,9801.37558865,-90.3732891860022,54.2668154989439,1995-06-17,1995-06-22,1,
1995_869,Big Trout Lake,1995,Undetermined,2599.36392584,-88.8029838940032,54.1087298326706,1995-08-06,1995-08-08,1,
2021_2320,Big Trout Lake,2021,Natural,85.6699427788,-91.9288033127676,52.6549130445472,2021-07-28,2021-09-16,1,
1995_902,Big Trout Lake,1995,Undetermined,806.298915661,-92.6362382155809,54.0586615520923,1995-06-22,1995-06-24,1,
1995_906,Big Trout Lake,1995,Undetermined,15668.54641,-92.9569389391047,53.9679652339735,1995-06-19,1995-07-05,1,
1995_918,Big Trout Lake,1995,Natural,3183.65235715,-90.9404806176452,53.8758235208057,1995-06-14,1995-07-10,1,
1995_948,Big Trout Lake,1995,Natural,16171.9768373,-88.4252723706014,53.5182280622663,1995-06-18,1995-06-28,1,
2020_309,Big Trout Lake,2020,Natural,260.465138694,-90.2752454778255,54.0490910492339,2020-07-19,2020-08-30,1,
2006_886,Big Trout Lake,2006,Natural,55.127925623,-87.3734881516426,50.7480121935029,2006-07-15,2006-08-03,1,
2020_347,Big Trout Lake,2020,Natural,707.910777481,-86.928554108041,51.5279952312256,2020-08-10,2020-08-13,1,
2006_891,Big Trout Lake,2006,Natural,259.070763982,-94.3874891266972,52.8694274576842,2006-08-31,2006-10-31,1,
2006_892,Big Trout Lake,2006,Natural,27.8108999375,-89.0830969388561,53.1456149364889,2006-07-14,2006-08-16,1,
2020_527,Big Trout Lake,2020,Natural,56.6320591741,-87.6623507030101,51.4056651280456,2020-07-09,2020-07-25,1,
2020_528,Big Trout Lake,2020,Natural,47.5143579873,-87.0696660354104,51.5040589948163,2020-08-08,2020-09-05,1,
2006_896,Big Trout Lake,2006,Undetermined,223.140724714,-89.6082784999422,53.8286183066705,2006-07-14,2006-07-24,1,
1995_1007,Big Trout Lake,1995,Natural,3761.84570015,-88.9219507842836,53.0370857811045,1995-06-21,1995-06-22,1,
2020_533,Big Trout Lake,2020,Natural,40.1862234073,-88.14047521288,52.0862107300416,2020-08-08,2020-08-20,1,
2020_536,Big Trout Lake,2020,Natural,104.566540434,-88.9247619949756,53.6400608935643,2020-07-09,2020-07-23,1,
2020_537,Big Trout Lake,2020,Natural,89.8149245369,-90.7432410861571,53.8055347815386,2020-08-08,2020-08-30,1,
2020_538,Big Trout Lake,2020,Natural,110.030042057,-89.8399531078439,53.9532084018079,2020-07-19,2020-08-03,1,
2020_539,Big Trout Lake,2020,Natural,138.220843504,-89.7472711856105,54.4014945197518,2020-07-23,2020-09-17,1,
2020_541,Big Trout Lake,2020,Natural,112.408371242,-89.2259963380378,54.3935025191242,2020-07-23,2020-09-17,1,
2019_605,Big Trout Lake,2019,Natural,1013.03706768,-92.1287599939832,53.5844643110527,2019-07-27,2019-07-28,1,
2019_607,Big Trout Lake,2019,Natural,333.09141035,-91.6054793379292,53.5285557066163,2019-07-27,2019-07-28,1,
2019_608,Big Trout Lake,2019,Natural,564.919859624,-93.7618141800223,53.5728169154643,2019-08-01,2019-08-02,1,
2019_630,Big Trout Lake,2019,Natural,408.060176138,-90.724167471021,53.1487471513839,2019-07-27,2019-08-03,1,
1995_1053,Big Trout Lake,1995,Natural,607.405774839,-93.9379374619472,52.7687771710564,1995-06-19,1995-06-20,1,
1995_1054,Big Trout Lake,1995,Natural,16505.4764713,-92.9379664270616,52.6702588998529,1995-06-02,1995-06-20,1,
1995_1069,Big Trout Lake,1995,Natural,1453.44543945,-89.284375740903,52.4402398635814,1995-06-13,1995-06-19,1,
2003_441,Big Trout Lake,2003,Undetermined,19203.3216547,-91.7949812734516,54.776780177012,2003-06-15,2003-09-09,1,
2019_1522,Big Trout Lake,2019,Natural,75.3153783831,-92.5077533723619,53.1966238606261,2019-07-14,2019-09-06,1,
2019_1523,Big Trout Lake,2019,Natural,85.6140042989,-90.3476910077398,53.256499332631,2019-07-28,2019-09-06,1,
2019_1524,Big Trout Lake,2019,Natural,195.438947253,-93.0097180497309,53.4417637367216,2019-07-27,2019-09-25,1,
2019_1525,Big Trout Lake,2019,Natural,135.186577786,-93.3589623428132,53.587860469196,2019-07-28,2019-09-16,1,
2018_90,Big Trout Lake,2018,Natural,315.916525959,-88.0838060543146,53.2890331726803,2018-07-29,2018-08-03,1,
2018_106,Big Trout Lake,2018,Natural,43.5241678411,-87.5238144589189,54.2843185197671,2018-08-03,2018-08-04,1,
2018_252,Big Trout Lake,2018,Natural,317.663099488,-87.9674306965072,53.3828713042689,2018-07-22,2018-08-11,1,
2018_342,Big Trout Lake,2018,Natural,584.566887187,-87.5229879655774,51.9681275468951,2018-06-20,2018-08-22,1,
2003_542,Big Trout Lake,2003,Natural,244.072360273,-91.747367869542,53.9163551087949,2003-07-01,2003-08-30,1,
2018_495,Big Trout Lake,2018,Natural,385.663440458,-93.7252020328773,52.8481000162723,2018-07-22,2018-07-23,1,
2018_519,Big Trout Lake,2018,Natural,1494.85023356,-91.3152660186862,53.9910567466819,2018-06-25,2018-07-29,1,
2018_524,Big Trout Lake,2018,Natural,197.498705792,-92.2988624704395,53.847089849251,2018-06-27,2018-07-19,1,
2003_666,Big Trout Lake,2003,Natural,3631.0140802,-92.7735596923465,52.7295329025997,2003-07-21,2003-07-25,1,
2003_671,Big Trout Lake,2003,Natural,834.840081253,-87.3676130720219,52.4779514793526,2003-08-08,2003-09-22,1,
2018_710,Big Trout Lake,2018,Natural,144.504429335,-88.3310188565812,52.1217464125826,2018-07-14,2018-07-15,1,
2013_851,Big Trout Lake,2013,Undetermined,145.429527266,-92.0844497837819,52.9598741710232,2013-09-10,2013-09-13,1,
2013_859,Big Trout Lake,2013,Natural,1738.41610519,-87.9688773206093,52.6521415008055,2013-06-07,2013-09-05,1,
2018_772,Big Trout Lake,2018,Natural,1125.36668513,-92.2317758746969,53.6464927893658,2018-06-17,2018-06-20,1,
2003_728,Big Trout Lake,2003,Natural,412.047089842,-86.4776692909664,51.4028126835586,2003-06-21,2003-08-17,1,
2013_908,Big Trout Lake,2013,Natural,800.926841934,-86.955894691081,51.7532775169891,2013-06-19,2013-07-21,1,
2018_969,Big Trout Lake,2018,Natural,4650.70480533,-90.291315907701,52.3806525241555,2018-07-09,2018-07-22,1,
2013_933,Big Trout Lake,2013,Natural,180.023711895,-87.1021881275733,51.1700576937138,2013-07-03,2013-07-31,1,
2018_1466,Big Trout Lake,2018,Natural,75.8217938354,-91.677384337593,52.6701092005811,2018-06-19,2018-07-14,1,
2013_1185,Big Trout Lake,2013,Natural,107.251500223,-89.5035160410952,51.9606331485445,2013-06-07,2013-07-11,1,
2018_1717,Big Trout Lake,2018,Natural,288.45237124,-91.5180190109731,52.3577021148597,2018-07-07,2018-08-13,1,
1999_706,Big Trout Lake,1999,Natural,64.2809414149,-88.1434752705635,53.3389403942242,1999-08-28,1999-09-09,1,
2003_887,Big Trout Lake,2003,Natural,499.18733984,-86.426401510019,51.7624812678792,2003-08-09,2003-08-16,1,
2018_1927,Big Trout Lake,2018,Natural,638.943781728,-88.4372840988583,51.5797107775409,2018-07-09,2018-07-11,1,
2018_1946,Big Trout Lake,2018,Natural,478.839929064,-89.6375947957449,52.0398297013465,2018-07-14,2018-09-03,1,
2018_2018,Big Trout Lake,2018,Natural,46.1635137825,-88.9044301431087,51.9855858449813,2018-06-26,2018-08-12,1,
2018_2019,Big Trout Lake,2018,Natural,125.474822291,-91.6607077303795,52.817221318331,2018-06-18,2018-07-14,1,
2018_2063,Big Trout Lake,2018,Natural,4363.32134179,-88.9700831705832,52.0669843612468,2018-07-11,2018-08-18,1,
2003_894,Big Trout Lake,2003,Natural,69.2852867226,-93.1557253177461,53.8082361329791,2003-08-15,2003-08-19,1,
2003_895,Big Trout Lake,2003,Natural,56.4573053887,-89.5466972885612,53.7720435082222,2003-06-18,2003-07-12,1,
2003_896,Big Trout Lake,2003,Natural,696.945032404,-91.9860874029766,53.9886078483703,2003-07-05,2003-09-17,1,
2018_2810,Big Trout Lake,2018,Natural,70.7799484145,-88.547701992983,51.4506550379355,2018-06-13,2018-06-27,1,
2003_1440,Big Trout Lake,2003,Undetermined,1047.64987541,-92.2358970867194,54.7537102958489,2003-06-20,2003-06-23,1,
2002_448,Big Trout Lake,2002,Natural,1845.11946332,-89.7902951552288,54.3931072733734,2002-07-01,2002-08-08,1,
2017_1236,Big Trout Lake,2017,Natural,120.613388894,-91.634564146274,54.3681711912943,2017-08-10,2017-09-05,1,
2017_1286,Big Trout Lake,2017,Natural,255.520396844,-86.2011948504079,53.82918298053,2017-08-11,2017-09-06,1,
2017_1415,Big Trout Lake,2017,Natural,47.4578441964,-89.4053054440149,53.5783312794472,2017-08-12,2017-09-05,1,
2012_667,Big Trout Lake,2012,Natural,1388.96363594,-93.7238473631808,52.8581042079993,2012-07-20,2012-07-28,1,
2017_1471,Big Trout Lake,2017,Natural,781.523933673,-90.165903795961,53.3790309613896,2017-08-31,2017-09-01,1,
1998_625,Big Trout Lake,1998,Natural,114.798540401,-87.5230967725828,53.3342195141868,1998-07-09,1998-07-10,1,
2012_671,Big Trout Lake,2012,Natural,8109.72726194,-91.5166894916716,52.721876206335,2012-07-20,2012-07-31,1,
2017_1564,Big Trout Lake,2017,Natural,54.8872851128,-90.9566360814254,53.1031994296227,2017-08-17,2017-09-18,1,
2017_1616,Big Trout Lake,2017,Natural,132.795404243,-88.9407391505437,52.8777141537459,2017-08-08,2017-09-05,1,
2017_1629,Big Trout Lake,2017,Natural,85.0474127926,-89.7526854743321,52.8873105476748,2017-08-11,2017-09-18,1,
2017_1666,Big Trout Lake,2017,Natural,510.308562029,-89.0331289532297,52.7326164116097,2017-08-12,2017-08-13,1,
2017_1668,Big Trout Lake,2017,Natural,197.972270575,-91.042412194808,52.8344236636896,2017-08-18,2017-08-19,1,
