GID,water_year,avg_cmi_anomaly
1986_11,1980,-21.5263614835796
1986_11,1981,7.055727622430861
1986_11,1982,30.47894007384459
1986_11,1983,19.648908838825893
1986_11,1984,20.449134593816918
1986_11,1985,29.440126624683078
1986_11,1986,24.009276023046723
1986_11,1987,48.15359661130143
1986_32,1980,-28.842387984617876
1986_32,1981,4.013419788982172
1986_32,1982,12.959943946094093
1986_32,1983,9.046074562193079
1986_32,1984,10.464517920425118
1986_32,1985,32.47711614537326
1986_32,1986,18.16626841760091
1986_32,1987,30.394791772666302
1986_40,1980,-13.839673128604478
1986_40,1981,8.225290315565605
1986_40,1982,25.839158859769505
1986_40,1983,21.132145913805104
1986_40,1984,18.649317017207405
1986_40,1985,31.1721221595703
1986_40,1986,27.085362841311586
1986_40,1987,50.27757709237586
1986_43,1980,-15.692360852716527
1986_43,1981,9.442255071119952
1986_43,1982,12.772010639455308
1986_43,1983,8.371897005810675
1986_43,1984,8.62544856638773
1986_43,1985,34.867188741724426
1986_43,1986,17.256845822922454
1986_43,1987,33.75396864012599
1986_45,1980,-9.692152298390749
1986_45,1981,13.884159754594265
1986_45,1982,16.978435004429663
1986_45,1983,10.4775198409463
1986_45,1984,11.769070035101436
1986_45,1985,39.815876412273354
1986_45,1986,21.274216338996624
1986_45,1987,35.782258327472434
1986_49,1980,-11.160472999071493
1986_49,1981,13.06344733687738
1986_49,1982,16.76771442372037
1986_49,1983,10.09046287501807
1986_49,1984,10.490441164188208
1986_49,1985,38.76258873080038
1986_49,1986,17.773612192804038
1986_49,1987,37.71028402041791
1986_54,1980,-7.092470434862482
1986_54,1981,4.938220386180252
1986_54,1982,32.85768863101517
1986_54,1983,23.194278836393938
1986_54,1984,17.31096810220967
1986_54,1985,35.65933876927896
1986_54,1986,20.76337250187328
1986_54,1987,46.17553617475663
1986_56,1980,-4.218124532132159
1986_56,1981,8.392547236118405
1986_56,1982,28.852876080804748
1986_56,1983,25.389125394608445
1986_56,1984,20.951145498317455
1986_56,1985,37.8295465876345
1986_56,1986,22.312596491875897
1986_56,1987,45.764508718687985
1986_57,1980,-7.7162903188325656
1986_57,1981,15.963344740543494
1986_57,1982,21.336640316318775
1986_57,1983,11.485704189427947
1986_57,1984,13.31624047315943
1986_57,1985,40.10753712546601
1986_57,1986,17.794857133493117
1986_57,1987,38.71229674117804
1986_58,1980,-7.68520414928027
1986_58,1981,14.543510321768867
1986_58,1982,21.67245441765117
1986_58,1983,10.382146655505522
1986_58,1984,12.571859308838135
1986_58,1985,38.494245442021736
1986_58,1986,15.146857386807065
1986_58,1987,36.79265267761239
1986_60,1980,-7.284695184821891
1986_60,1981,8.18530741285451
1986_60,1982,25.439319331658993
1986_60,1983,21.09595131913649
1986_60,1984,18.962234686852252
1986_60,1985,33.5394472521515
1986_60,1986,19.612038221214647
1986_60,1987,41.65009351853061
1986_70,1980,-3.775112117797777
1986_70,1981,10.567117302517554
1986_70,1982,29.626927207635756
1986_70,1983,21.818930133056465
1986_70,1984,14.883797755287743
1986_70,1985,36.98656076087425
1986_70,1986,18.598652454097188
1986_70,1987,36.11690780912331
1987_101,1981,-1.6181502492037996
1987_101,1982,29.280445794964333
1987_101,1983,28.916621564665814
1987_101,1984,15.172945517574188
1987_101,1985,42.003600795538034
1987_101,1986,17.99992666854062
1987_101,1987,14.82970536377965
1987_101,1988,35.18748260985145
1987_12,1981,11.380127649498352
1987_12,1982,16.912896087434344
1987_12,1983,19.02319735986769
1987_12,1984,28.734649834649737
1987_12,1985,25.296296153338847
1987_12,1986,24.27698716851247
1987_12,1987,4.509109334482742
1987_12,1988,29.944974950106474
1987_17,1981,2.405073710714161
1987_17,1982,13.020609440670327
1987_17,1983,25.770791088604113
1987_17,1984,34.229205872620376
1987_17,1985,37.68213125263227
1987_17,1986,25.29980377095613
1987_17,1987,8.46535994095277
1987_17,1988,31.9321225767174
1987_29,1981,-20.48198570600654
1987_29,1982,12.335361869386507
1987_29,1983,14.213813584785964
1987_29,1984,18.314985591421202
1987_29,1985,25.99028885971376
1987_29,1986,21.084489873127666
1987_29,1987,1.4788609906741446
1987_29,1988,34.70734319719398
1987_30,1981,0.8352440805403845
1987_30,1982,24.338845885138742
1987_30,1983,16.20966642630914
1987_30,1984,18.794765915232624
1987_30,1985,37.47854020630008
1987_30,1986,26.177385411534022
1987_30,1987,10.442856838080123
1987_30,1988,25.760222388681086
1987_31,1981,6.3675392217506595
1987_31,1982,27.664345983038242
1987_31,1983,18.244623728550753
1987_31,1984,20.996811781165658
1987_31,1985,29.039365148433927
1987_31,1986,28.58390269833967
1987_31,1987,17.648961385882295
1987_31,1988,20.920423150939488
1987_33,1981,-20.682291987999804
1987_33,1982,13.645322944383372
1987_33,1983,8.917197983886258
1987_33,1984,15.694228884803225
1987_33,1985,25.276842820287957
1987_33,1986,17.271531627036925
1987_33,1987,-1.4849013974399772
1987_33,1988,40.4517787284294
1987_47,1981,5.6056688502820435
1987_47,1982,24.268538272134442
1987_47,1983,13.370732809712292
1987_47,1984,14.793400467998605
1987_47,1985,30.430792495264733
1987_47,1986,22.360929987281295
1987_47,1987,17.035506365630265
1987_47,1988,17.009782671805475
1987_49,1981,-15.877233003638166
1987_49,1982,12.59162905610551
1987_49,1983,5.857700215814591
1987_49,1984,11.000961476897963
1987_49,1985,26.99687487863274
1987_49,1986,12.344646582377054
1987_49,1987,-2.48151050127259
1987_49,1988,34.167772877425435
1987_66,1981,3.7986948357899744
1987_66,1982,24.35919192584027
1987_66,1983,20.15511759466113
1987_66,1984,19.749286477728496
1987_66,1985,31.607631452142325
1987_66,1986,26.72045098903852
1987_66,1987,16.50161404252163
1987_66,1988,30.828756188188557
1987_67,1981,7.233063060974603
1987_67,1982,23.768903592765906
1987_67,1983,14.82742083920869
1987_67,1984,18.536273092663695
1987_67,1985,28.184174821780385
1987_67,1986,27.137720597867325
1987_67,1987,16.922249791402432
1987_67,1988,29.97877098507655
1987_70,1981,-4.190199872790667
1987_70,1982,15.780632948886137
1987_70,1983,7.378913797298335
1987_70,1984,7.917941266477708
1987_70,1985,34.41555413575095
1987_70,1986,14.614747544953204
1987_70,1987,1.1656264218545473
1987_70,1988,33.149808525390426
1987_72,1981,0.8961828023911734
1987_72,1982,22.494197721206504
1987_72,1983,14.98590100419896
1987_72,1984,18.191309347102568
1987_72,1985,28.742827055765613
1987_72,1986,20.970216079456176
1987_72,1987,14.149044679738155
1987_72,1988,32.285498326187124
1987_76,1981,0.051067492146476344
1987_76,1982,22.707106948331624
1987_76,1983,13.85573482411335
1987_76,1984,16.7835725551848
1987_76,1985,27.37092615043274
1987_76,1986,21.324096290334783
1987_76,1987,14.333763236666465
1987_76,1988,32.41621635931297
1987_77,1981,7.304962282854193
1987_77,1982,27.722601381814908
1987_77,1983,22.490256809188452
1987_77,1984,22.590737586472695
1987_77,1985,52.04894818374837
1987_77,1986,34.05618678705352
1987_77,1987,22.979326717671857
1987_77,1988,49.936828807009285
1987_8,1981,16.585843406790186
1987_8,1982,29.053960984437573
1987_8,1983,18.01328356601296
1987_8,1984,28.948525245073608
1987_8,1985,30.252423077883954
1987_8,1986,30.775463331087796
1987_8,1987,10.483263781106446
1987_8,1988,38.28280289418458
1987_95,1981,4.298918863598327
1987_95,1982,44.49230066462898
1987_95,1983,39.14083663240862
1987_95,1984,33.83409594608289
1987_95,1985,53.87530658802194
1987_95,1986,32.338757353977336
1987_95,1987,27.464577587911982
1987_95,1988,55.40721574993232
1988_101,1982,36.92796054021095
1988_101,1983,30.440170413257967
1988_101,1984,22.581776739558887
1988_101,1985,36.9096955428994
1988_101,1986,27.69041707773703
1988_101,1987,20.92484864416761
1988_101,1988,11.67070989959695
1988_101,1989,29.982122438603884
1988_110,1982,25.3804437197499
1988_110,1983,18.100028252174774
1988_110,1984,14.554583283405849
1988_110,1985,41.02032737077916
1988_110,1986,19.728514355100977
1988_110,1987,9.543240116110157
1988_110,1988,11.468796511178004
1988_110,1989,24.891415059714497
1988_116,1982,26.98853398870201
1988_116,1983,17.524868363217035
1988_116,1984,16.581274830799046
1988_116,1985,41.35493284896053
1988_116,1986,16.719761228639094
1988_116,1987,8.171385700297186
1988_116,1988,11.26356428120788
1988_116,1989,23.532830353191425
1988_120,1982,12.180088298079673
1988_120,1983,10.398806452782528
1988_120,1984,12.25513825290785
1988_120,1985,38.95378293334406
1988_120,1986,15.214112522837333
1988_120,1987,7.7214207932536105
1988_120,1988,20.93352873550266
1988_120,1989,31.280428021816885
1988_124,1982,36.08605408090498
1988_124,1983,23.413794832986145
1988_124,1984,16.17555438495252
1988_124,1985,38.03842506182006
1988_124,1986,18.252795086231664
1988_124,1987,16.236942452243518
1988_124,1988,9.694130780329107
1988_124,1989,25.38461526299285
1988_125,1982,34.84657146219069
1988_125,1983,23.57247166393382
1988_125,1984,18.37898759647711
1988_125,1985,35.198294756733866
1988_125,1986,19.687246269806856
1988_125,1987,17.81359167243425
1988_125,1988,8.12662650615187
1988_125,1989,23.417851020629435
1988_139,1982,30.489177308209044
1988_139,1983,19.125795365127345
1988_139,1984,14.176730004960545
1988_139,1985,36.26720269671219
1988_139,1986,17.83903711486766
1988_139,1987,10.930087836766875
1988_139,1988,10.974505130652012
1988_139,1989,19.44694415423809
1988_144,1982,14.116575678392367
1988_144,1983,8.185488572845394
1988_144,1984,10.153287136715212
1988_144,1985,37.699541063711095
1988_144,1986,12.462847592897463
1988_144,1987,3.790837239326546
1988_144,1988,12.125905717880702
1988_144,1989,26.22812352655481
1988_145,1982,32.82260179164822
1988_145,1983,28.01182711885083
1988_145,1984,13.28555910925564
1988_145,1985,39.57636528427115
1988_145,1986,17.06452946924283
1988_145,1987,14.079080159566812
1988_145,1988,9.795484565245943
1988_145,1989,22.681853720755598
1988_152,1982,11.753343521542547
1988_152,1983,9.930616439714054
1988_152,1984,11.511385316441107
1988_152,1985,35.943665427011936
1988_152,1986,8.007851149282759
1988_152,1987,1.7125151667186034
1988_152,1988,15.441356772447
1988_152,1989,24.655849295564895
1988_153,1982,30.82762225927316
1988_153,1983,27.706925776576973
1988_153,1984,19.109300053587347
1988_153,1985,39.589259146883514
1988_153,1986,19.630233352132006
1988_153,1987,19.297919875333157
1988_153,1988,11.149481431499252
1988_153,1989,27.62647616878217
1988_154,1982,11.636052013836986
1988_154,1983,10.334048448906614
1988_154,1984,9.828406057298661
1988_154,1985,36.98563013966751
1988_154,1986,10.640442854180241
1988_154,1987,3.9310395515163212
1988_154,1988,12.251443332330668
1988_154,1989,24.218555803592405
1988_16,1982,13.869566683189344
1988_16,1983,12.681789192546447
1988_16,1984,23.34736121708646
1988_16,1985,17.91756386677647
1988_16,1986,24.16331398940653
1988_16,1987,3.01359765043888
1988_16,1988,-1.7234614919537754
1988_16,1989,81.85863633865401
1988_19,1982,11.096308583171092
1988_19,1983,23.10945426810464
1988_19,1984,30.036956468243435
1988_19,1985,35.918379390175815
1988_19,1986,24.996821294271687
1988_19,1987,7.238879911400213
1988_19,1988,10.514382576221614
1988_19,1989,72.07279623378503
1988_20,1982,13.707981208143536
1988_20,1983,18.632680384447724
1988_20,1984,21.595976136507296
1988_20,1985,26.809831532472465
1988_20,1986,20.877882767042752
1988_20,1987,2.607729223421848
1988_20,1988,2.294870771107889
1988_20,1989,79.64189076713433
1988_22,1982,8.587182118097427
1988_22,1983,17.61163343589129
1988_22,1984,21.763321784545376
1988_22,1985,28.436023905262402
1988_22,1986,19.748235583137923
1988_22,1987,0.34876219267969805
1988_22,1988,3.549892854094871
1988_22,1989,71.5363127086838
1988_26,1982,31.24079796479404
1988_26,1983,24.841186913172383
1988_26,1984,27.451269102345
1988_26,1985,26.20899592763166
1988_26,1986,31.522880213897402
1988_26,1987,20.02769756517321
1988_26,1988,14.708952202124584
1988_26,1989,27.417716117212155
