GID,coniferous,wetland_treed,mixedwood,broadleaf,percent_upland,percent_wetland
2000_532,26.959247648902824,0,29.153605015673982,23.824451410658302,97.49216300940438,2.507836990595611
2001_357,0.24529844644317253,0,0,3.025347506132461,99.9182338511856,0.08176614881439084
1986_49,31.171875,3.1119791666666665,40.63802083333333,0.026041666666666654,94.84375,5.15625
1986_45,30.625596292762715,1.921766389532507,13.22066239607469,0.08177729317159604,95.25691699604744,4.74308300395257
1986_70,59.74025974025975,6.313131313131313,30.66378066378067,0,93.25396825396828,6.746031746031746
1987_72,38.443220717368646,3.0063997618693254,50.999652726100095,0.32246862132261744,95.52512774718457,4.474872252815398
1988_99,56.91217014572666,3.147391914208522,32.15522066292158,0.008291702079144288,92.50844717149312,7.4915528285068715
1988_96,45.14594949163661,4.289931124959002,41.487372909150544,0.08363397835355854,93.34371925221384,6.656280747786159
1988_125,55.99743425272611,0.4169339320076973,30.917254650416936,0.32071840923669026,98.1398332264272,1.8601667735728034
1988_110,22.27593901078468,7.586463369282262,30.754927482335436,0,76.38527333581257,23.61472666418743
1988_120,42.298100901592164,4.047573374256666,31.622865912142718,0.009591406100134274,91.84730481488585,8.152695185114139
1988_90,63.462586764545556,3.8412617654540826,27.06326997855871,0,94.95947959443254,5.040520405567467
1988_81,31.73605655930871,4.60329929300864,49.53652788688137,0,92.61586802827964,7.384131971720344
1989_1028,63.164721141374834,2.7885862516212705,28.84565499351492,0.3891050583657588,96.88715953307394,3.1128404669260696
1989_885,21.33871350581534,9.494422027059105,15.879420840256353,0.02373605506764775,87.63351530975554,12.366484690244484
1989_1156,65.99238457877202,15.920990004759638,17.89623988576868,0,83.8886244645407,16.111375535459306
1989_789,56.65835411471322,22.6932668329177,20.448877805486283,0,77.1072319201995,22.892768079800494
1989_1039,41.101297676025055,7.248236048749197,36.793802733507675,0,91.77480633542211,8.225193664577883
1989_888,79.3239739454879,5.8717510908745965,12.938721305255172,0.004742933029785619,93.06108897742365,6.938911022576361
1989_1195,45.663160770386554,1.7483950280016394,31.566725857123345,0.7649228247507172,94.09916678049447,5.900833219505533
1989_1255,25.72603866721514,8.054298642533936,43.340189222542165,0.18099547511312214,85.03496503496504,14.965034965034963
1989_1169,30.4287858504726,11.979230051519206,46.82568658472273,0,82.46318607764391,17.53681392235609
1989_1088,40.408647268083556,12.523944175864271,40.05290522667153,0,82.48654565356198,17.513454346438017
1989_920,16.436126932465417,4.373474369406021,16.425956061838892,0,95.13832384052075,4.861676159479251
1989_1337,26.346074804767778,3.726537881901631,44.12933278531305,0.013700506918755994,91.69749280723386,8.302507192766134
1989_806,9.904534606205251,36.87350835322196,8.353221957040574,0,18.257756563245827,81.74224343675417
1989_1106,28.516868236791854,42.96626352641629,17.05919796308084,0.2546148949713558,50.09548058561426,49.90451941438574
1989_1131,12.496350364963504,12.759124087591244,50.33576642335766,0,78.04379562043795,21.95620437956205
1990_47,61.47625187013506,2.4965010376233248,26.6527857256124,0.14892135435698375,94.20585619436994,5.794143805630053
1990_99,6.2281777861658965,57.148249504576775,0.45295838444842884,0.849296970840804,8.106067755025007,91.893932244975
1990_29,37.08724365658672,14.563781717066387,34.862704205769894,2.3635731664928747,85.22766770941953,14.772332290580465
1991_108,4.484561346185263,49.94281980068615,3.651364156183629,0,8.985459892174479,91.0145401078255
1992_36,62.43093922651934,13.259668508287294,19.731649565903712,0,84.76716653512234,15.232833464877665
1992_30,34.26540475773771,5.8495671724175065,42.42383446196098,0.04173454139124112,88.94303908237859,11.0569609176214
1992_24,59.755920148710906,6.910207710337023,26.092297745090114,0.019397074274630232,90.833265982381,9.166734017619007
1993_13,55.93615947514509,7.923290436537977,27.245773403986885,0.0757002271006813,85.26368912440071,14.736310875599294
